agecell,all,allfitted,internal,internalfitted,external,externalfitted,alcohol,alcoholfitted,homicide,homicidefitted,suicide,suicidefitted,mva,mvafitted,drugs,drugsfitted,externalother,externalotherfitted
19.06849289,92.82540131,91.70614624,16.61758995,16.73813057,76.20781708,74.96800995,0.639138043,0.794344485,16.31681824,16.2845726,11.20371437,11.59210014,35.82932663,34.81777954,3.872424603,3.448834896,8.534373283,8.388236046
19.15068436,95.10073853,91.8837204,18.3276844,16.9206543,76.77305603,74.9630661,0.677409291,0.837574899,16.85996437,16.27069664,12.19336796,11.59361076,35.63925552,34.63388824,3.23651123,3.470022202,8.655785561,8.530174255
19.23287582,92.14429474,92.04906464,18.9110527,17.09884262,73.23323822,74.95022583,0.866442621,0.877834678,15.21925354,16.26288223,11.71581173,11.59512901,34.20565033,34.44673538,3.202070713,3.492069483,8.51374054,8.662680626
19.3150692,88.42775726,92.20214081,16.1017704,17.27268028,72.32598114,74.92946625,0.867308438,0.91511488,16.74282455,16.26114845,11.27501011,11.59665489,32.27895737,34.25630188,3.280688524,3.514979839,8.258284569,8.785727501
19.39726067,88.7049408,92.3429184,17.36351967,17.44215584,71.34141541,74.90075684,1.019163132,0.949406564,14.94772625,16.26551056,10.98431396,11.59818935,32.65096664,34.06258774,3.548197508,3.538755178,8.417532921,8.899288177
19.47945213,90.19178772,92.47134399,17.87210464,17.60725403,72.31967926,74.86408997,1.171321869,0.980700731,15.64281464,16.27598953,12.16663361,11.59973145,32.72144318,33.86558151,3.211688995,3.5633986,7.972545624,9.003332138
19.5616436,96.2203064,92.58738708,16.41494179,17.76796532,79.80536652,74.81941986,0.86991632,1.00898838,16.2636528,16.29260445,12.40576267,11.60128117,36.38519669,33.66527176,3.857889652,3.588912725,10.28770542,9.097830772
19.64383507,89.61555481,92.69101715,15.97708702,17.92427254,73.63846588,74.76674652,1.097951412,1.034260511,15.82564545,16.31537056,10.97951412,11.60283947,34.18793488,33.46164703,3.483156204,3.61529994,8.670030594,9.182756424
19.72602654,93.38169861,92.78219604,17.43327141,18.07616615,75.94842529,74.70602417,1.174850941,1.056508064,16.78899956,16.34430885,11.90010262,11.6044054,31.91046715,33.25469589,4.055130482,3.642562866,10.76315022,9.258080482
19.80821991,90.85795593,92.86087036,18.28540039,18.22363091,72.57255554,74.63724518,0.948412895,1.075721741,16.61619377,16.37943649,11.5706377,11.60597992,30.57683182,33.04441452,3.566032648,3.670704365,9.863493919,9.32377243
